ID,Term,Uzbek Meaning,Difficulty,Category,Type,Question,Option A,Option B,Option C,Option D,Correct,Explanation
1,book,kitob,Low,School,EN→UZ,Choose the best Uzbek meaning of 'book'.,o‘quvchi qayd,kundalik vaqt,kechki faoliyat,kitob,D,'book' means 'kitob' in Uzbek. Remember it together with its context.
2,book,kitob,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'kitob'.,daily time,evening activity,book,student note,C,The English word or phrase for 'kitob' is 'book'.
3,book,kitob,Low,School,Context,I borrowed a _____ from the library.,evening activity,book,student note,daily time,B,The best answer in this context is 'book' (kitob).
4,teacher,o‘qituvchi,Low,School,EN→UZ,Choose the best Uzbek meaning of 'teacher'.,o‘qituvchi,o‘qituvchi test,ertalabki sayr,kechki mashq,A,'teacher' means 'o‘qituvchi' in Uzbek. Remember it together with its context.
5,teacher,o‘qituvchi,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qituvchi'.,teacher test,morning walk,evening exercise,teacher,D,The English word or phrase for 'o‘qituvchi' is 'teacher'.
6,teacher,o‘qituvchi,Low,School,Context,Our _____ explains the lesson clearly.,morning walk,evening exercise,teacher,teacher test,C,The best answer in this context is 'teacher' (o‘qituvchi).
7,student,o‘quvchi,Low,School,EN→UZ,Choose the best Uzbek meaning of 'student'.,oddiy sayr,o‘quvchi,uy reja,bo‘sh jadval,B,'student' means 'o‘quvchi' in Uzbek. Remember it together with its context.
8,student,o‘quvchi,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘quvchi'.,student,home plan,free schedule,simple walk,A,The English word or phrase for 'o‘quvchi' is 'student'.
9,student,o‘quvchi,Low,School,Context,Every _____ must bring a notebook.,home plan,free schedule,simple walk,student,D,The best answer in this context is 'student' (o‘quvchi).
10,school,maktab,Low,School,EN→UZ,Choose the best Uzbek meaning of 'school'.,ingliz tili topshiriq,so‘z test,maktab,sinf xona,C,'school' means 'maktab' in Uzbek. Remember it together with its context.
11,school,maktab,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'maktab'.,word test,school,class room,English task,B,The English word or phrase for 'maktab' is 'school'.
12,school,maktab,Low,School,Context,My _____ starts at eight in the morning.,school,class room,English task,word test,A,The best answer in this context is 'school' (maktab).
13,class,sinf,Low,School,EN→UZ,Choose the best Uzbek meaning of 'class'.,muntazam vaqt,poyezd vaqt,shahar chipta,sinf,D,'class' means 'sinf' in Uzbek. Remember it together with its context.
14,class,sinf,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'sinf'.,train time,city ticket,class,regular time,C,The English word or phrase for 'sinf' is 'class'.
15,class,sinf,Low,School,Context,There are fifteen students in our _____.,city ticket,class,regular time,train time,B,The best answer in this context is 'class' (sinf).
16,homework,uy vazifasi,Low,School,EN→UZ,Choose the best Uzbek meaning of 'homework'.,uy vazifasi,shahar ma’lumot,sayyohlik bekat,oson,A,'homework' means 'uy vazifasi' in Uzbek. Remember it together with its context.
17,homework,uy vazifasi,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'uy vazifasi'.,city information,tourist stop,easy,homework,D,The English word or phrase for 'uy vazifasi' is 'homework'.
18,homework,uy vazifasi,Low,School,Context,I finished my _____ before dinner.,tourist stop,easy,homework,city information,C,The best answer in this context is 'homework' (uy vazifasi).
19,question,savol,Low,School,EN→UZ,Choose the best Uzbek meaning of 'question'.,poyezd,savol,sayyohlik xarita,yozmoq,B,'question' means 'savol' in Uzbek. Remember it together with its context.
20,question,savol,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'savol'.,question,tourist map,write,train,A,The English word or phrase for 'savol' is 'question'.
21,question,savol,Low,School,Context,Please read the _____ carefully.,tourist map,write,train,question,D,The best answer in this context is 'question' (savol).
22,answer,javob,Low,School,EN→UZ,Choose the best Uzbek meaning of 'answer'.,o‘qish mashq,o‘qish vaqt,javob,sinf qayd,C,'answer' means 'javob' in Uzbek. Remember it together with its context.
23,answer,javob,Low,School,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'javob'.,study time,answer,class note,reading practice,B,The English word or phrase for 'javob' is 'answer'.
24,answer,javob,Low,School,Context,Write your _____ on the paper.,answer,class note,reading practice,study time,A,The best answer in this context is 'answer' (javob).
25,read,o‘qimoq,Low,Learning,EN→UZ,Choose the best Uzbek meaning of 'read'.,dars reja,o‘qituvchi xona,kundalik reja,o‘qimoq,D,'read' means 'o‘qimoq' in Uzbek. Remember it together with its context.
26,read,o‘qimoq,Low,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘qimoq'.,teacher room,daily plan,read,lesson plan,C,The English word or phrase for 'o‘qimoq' is 'read'.
27,read,o‘qimoq,Low,Learning,Context,I _____ English stories every evening.,daily plan,read,lesson plan,teacher room,B,The best answer in this context is 'read' (o‘qimoq).
28,write,yozmoq,Low,Learning,EN→UZ,Choose the best Uzbek meaning of 'write'.,yozmoq,poyezd qo‘llanma,shahar safar,sayyohlik xarita,A,'write' means 'yozmoq' in Uzbek. Remember it together with its context.
29,write,yozmoq,Low,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'yozmoq'.,train guide,city trip,tourist map,write,D,The English word or phrase for 'yozmoq' is 'write'.
30,write,yozmoq,Low,Learning,Context,Please _____ your name here.,city trip,tourist map,write,train guide,C,The best answer in this context is 'write' (yozmoq).
31,listen,tinglamoq,Low,Learning,EN→UZ,Choose the best Uzbek meaning of 'listen'.,o‘qish ish,tinglamoq,sinf topshiriq,o‘qish test,B,'listen' means 'tinglamoq' in Uzbek. Remember it together with its context.
32,listen,tinglamoq,Low,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'tinglamoq'.,listen,class task,reading test,study work,A,The English word or phrase for 'tinglamoq' is 'listen'.
33,listen,tinglamoq,Low,Learning,Context,We _____ to English audio in class.,class task,reading test,study work,listen,D,The best answer in this context is 'listen' (tinglamoq).
34,speak,gapirmoq,Low,Learning,EN→UZ,Choose the best Uzbek meaning of 'speak'.,poyezd xarita,sayohat reja,gapirmoq,muntazam odat,C,'speak' means 'gapirmoq' in Uzbek. Remember it together with its context.
35,speak,gapirmoq,Low,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'gapirmoq'.,travel plan,speak,regular habit,train map,B,The English word or phrase for 'gapirmoq' is 'speak'.
36,speak,gapirmoq,Low,Learning,Context,Try to _____ English every day.,speak,regular habit,train map,travel plan,A,The best answer in this context is 'speak' (gapirmoq).
