ID,Topic,Difficulty,Kind,Passage,Question,Option A,Option B,Option C,Option D,Correct,Explanation
1,Daily Life,Low,Detail,"Bek prepares his school bag before going to bed. In the morning, he can leave home without searching for books or pens.",What does Bek prepare before going to bed?,a completely different activity,something not mentioned in the passage,the opposite of the passage,his school bag,D,Correct answer: his school bag. The passage directly supports this answer; the other choices are not supported by the text.
2,Daily Life,Low,Reasoning,"Bek prepares his school bag before going to bed. In the morning, he can leave home without searching for books or pens.",Why does this habit help Bek?,something not mentioned in the passage,the opposite of the passage,He can leave without searching for school items.,a completely different activity,C,Correct answer: He can leave without searching for school items.. The passage directly supports this answer; the other choices are not supported by the text.
3,Daily Life,Low,Detail,Malika writes three tasks in a notebook every evening. She checks the list the next day and crosses out each completed task.,What does Malika write in her notebook?,the opposite of the passage,three tasks,a completely different activity,something not mentioned in the passage,B,Correct answer: three tasks. The passage directly supports this answer; the other choices are not supported by the text.
4,Daily Life,Low,Reasoning,Malika writes three tasks in a notebook every evening. She checks the list the next day and crosses out each completed task.,What is the notebook mainly used for?,organising the next day's tasks,a completely different activity,something not mentioned in the passage,the opposite of the passage,A,Correct answer: organising the next day's tasks. The passage directly supports this answer; the other choices are not supported by the text.
5,Daily Life,Medium,Detail,"Rustam used to check social media during breakfast and often forgot school materials. He now keeps his phone in another room until he is ready to leave, and he arrives at school more prepared.",What change did Rustam make?,a result not supported by the passage,an unrelated explanation,the opposite conclusion,He keeps his phone in another room during breakfast.,D,Correct answer: He keeps his phone in another room during breakfast.. The passage directly supports this answer; the other choices are not supported by the text.
6,Daily Life,Medium,Reasoning,"Rustam used to check social media during breakfast and often forgot school materials. He now keeps his phone in another room until he is ready to leave, and he arrives at school more prepared.",What can be inferred about his old phone habit?,an unrelated explanation,the opposite conclusion,It distracted him from preparing for school.,a result not supported by the passage,C,Correct answer: It distracted him from preparing for school.. The passage directly supports this answer; the other choices are not supported by the text.
7,Daily Life,Medium,Detail,"Saida and her brother follow a weekly schedule for household chores. Because each person knows exactly what to do, they argue less about whose turn it is.",What do Saida and her brother use?,the opposite conclusion,a weekly chore schedule,a result not supported by the passage,an unrelated explanation,B,Correct answer: a weekly chore schedule. The passage directly supports this answer; the other choices are not supported by the text.
8,Daily Life,Medium,Reasoning,"Saida and her brother follow a weekly schedule for household chores. Because each person knows exactly what to do, they argue less about whose turn it is.",Why has the schedule reduced arguments?,Each person knows their responsibility.,a result not supported by the passage,an unrelated explanation,the opposite conclusion,A,Correct answer: Each person knows their responsibility.. The passage directly supports this answer; the other choices are not supported by the text.
9,Daily Life,High,Detail,"Nargiza noticed that choosing clothes each morning took more time than she expected. She began selecting clothes the night before. The change saved only a few minutes each day, but after several weeks she felt less rushed and arrived on time more consistently.",What did Nargiza begin doing?,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,choosing clothes the night before,D,Correct answer: choosing clothes the night before. The passage directly supports this answer; the other choices are not supported by the text.
10,Daily Life,High,Reasoning,"Nargiza noticed that choosing clothes each morning took more time than she expected. She began selecting clothes the night before. The change saved only a few minutes each day, but after several weeks she felt less rushed and arrived on time more consistently.",What is the main lesson of the passage?,an unrelated interpretation,the opposite of the writer's point,Small planning changes can improve a daily routine.,a claim the passage does not support,C,Correct answer: Small planning changes can improve a daily routine.. The passage directly supports this answer; the other choices are not supported by the text.
11,Daily Life,High,Detail,"Akmal's apartment elevator stopped working for two days, so he repeatedly climbed seven floors. Although he complained at first, he noticed that the stairs became easier by the second day. After the elevator was repaired, he decided to use the stairs once a day.",What did Akmal decide after the elevator was repaired?,the opposite of the writer's point,to use the stairs once a day,a claim the passage does not support,an unrelated interpretation,B,Correct answer: to use the stairs once a day. The passage directly supports this answer; the other choices are not supported by the text.
12,Daily Life,High,Reasoning,"Akmal's apartment elevator stopped working for two days, so he repeatedly climbed seven floors. Although he complained at first, he noticed that the stairs became easier by the second day. After the elevator was repaired, he decided to use the stairs once a day.",Why did he probably continue using the stairs?,He noticed that the activity became easier and useful.,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,A,Correct answer: He noticed that the activity became easier and useful.. The passage directly supports this answer; the other choices are not supported by the text.
13,Education,Low,Detail,"An English teacher gives students five new words on Monday. On Friday, students use the words in short sentences so they can remember them in context.",How many new words do students receive?,a completely different activity,something not mentioned in the passage,the opposite of the passage,five,D,Correct answer: five. The passage directly supports this answer; the other choices are not supported by the text.
14,Education,Low,Reasoning,"An English teacher gives students five new words on Monday. On Friday, students use the words in short sentences so they can remember them in context.",Why do students use the words in sentences?,something not mentioned in the passage,the opposite of the passage,to remember the words in context,a completely different activity,C,Correct answer: to remember the words in context. The passage directly supports this answer; the other choices are not supported by the text.
15,Education,Low,Detail,Madina studies for twenty minutes and then takes a five-minute break. She repeats this cycle because short breaks help her stay focused.,How long does Madina study before a break?,the opposite of the passage,twenty minutes,a completely different activity,something not mentioned in the passage,B,Correct answer: twenty minutes. The passage directly supports this answer; the other choices are not supported by the text.
16,Education,Low,Reasoning,Madina studies for twenty minutes and then takes a five-minute break. She repeats this cycle because short breaks help her stay focused.,Why does she take short breaks?,to stay focused,a completely different activity,something not mentioned in the passage,the opposite of the passage,A,Correct answer: to stay focused. The passage directly supports this answer; the other choices are not supported by the text.
17,Education,Medium,Detail,"A teacher noticed that students could repeat science facts but struggled to explain why the facts mattered. She asked them to connect each fact to a real-world example, and class discussions became more detailed.",What new task did the teacher add?,a result not supported by the passage,an unrelated explanation,the opposite conclusion,connecting facts to real-world examples,D,Correct answer: connecting facts to real-world examples. The passage directly supports this answer; the other choices are not supported by the text.
18,Education,Medium,Reasoning,"A teacher noticed that students could repeat science facts but struggled to explain why the facts mattered. She asked them to connect each fact to a real-world example, and class discussions became more detailed.",What problem was the teacher trying to solve?,an unrelated explanation,the opposite conclusion,Students knew facts but did not understand their significance.,a result not supported by the passage,C,Correct answer: Students knew facts but did not understand their significance.. The passage directly supports this answer; the other choices are not supported by the text.
19,Education,Medium,Detail,Some students reread the same page many times before a test. Another method is to close the book and recall the main ideas from memory. This can reveal which information is truly understood and which parts still need review.,What alternative to rereading is described?,the opposite conclusion,recalling main ideas from memory,a result not supported by the passage,an unrelated explanation,B,Correct answer: recalling main ideas from memory. The passage directly supports this answer; the other choices are not supported by the text.
20,Education,Medium,Reasoning,Some students reread the same page many times before a test. Another method is to close the book and recall the main ideas from memory. This can reveal which information is truly understood and which parts still need review.,Why can recall practice be useful?,It reveals gaps in knowledge.,a result not supported by the passage,an unrelated explanation,the opposite conclusion,A,Correct answer: It reveals gaps in knowledge.. The passage directly supports this answer; the other choices are not supported by the text.
