ID,Term,Uzbek Meaning,Difficulty,Category,Context
1,book,kitob,Low,School,I borrowed a ___ from the library.
2,teacher,o‘qituvchi,Low,School,Our ___ explains the lesson clearly.
3,student,o‘quvchi,Low,School,Every ___ must bring a notebook.
4,school,maktab,Low,School,My ___ starts at eight in the morning.
5,class,sinf,Low,School,There are fifteen students in our ___.
6,homework,uy vazifasi,Low,School,I finished my ___ before dinner.
7,question,savol,Low,School,Please read the ___ carefully.
8,answer,javob,Low,School,Write your ___ on the paper.
9,read,o‘qimoq,Low,Learning,I ___ English stories every evening.
10,write,yozmoq,Low,Learning,Please ___ your name here.
11,listen,tinglamoq,Low,Learning,We ___ to English audio in class.
12,speak,gapirmoq,Low,Learning,Try to ___ English every day.
13,learn,o‘rganmoq,Low,Learning,Students ___ new words each week.
14,remember,eslamoq,Low,Learning,I use flashcards to ___ vocabulary.
15,easy,oson,Low,General,This exercise is very ___.
16,difficult,qiyin,Low,General,The last question was ___.
17,important,muhim,Low,General,Sleep is ___ for good health.
18,happy,xursand,Low,Feelings,She felt ___ after passing the test.
19,tired,charchagan,Low,Feelings,He was ___ after a long day.
20,friend,do‘st,Low,People,My best ___ studies with me.
21,family,oila,Low,People,My ___ eats dinner together.
22,city,shahar,Low,Places,Tashkent is a large ___.
23,country,mamlakat,Low,Places,Uzbekistan is a beautiful ___.
24,market,bozor,Low,Places,We bought fruit at the ___.
25,shop,do‘kon,Low,Places,This ___ sells school supplies.
26,bus,avtobus,Low,Travel,I go to school by ___.
27,train,poyezd,Low,Travel,The ___ leaves at nine o’clock.
28,ticket,chipta,Low,Travel,I bought a ___ for Samarkand.
29,travel,sayohat qilmoq,Low,Travel,Many people like to ___ in summer.
30,water,suv,Low,Health,Drink enough ___ every day.
31,food,ovqat,Low,Health,Healthy ___ gives us energy.
32,walk,piyoda yurmoq,Low,Health,I ___ for twenty minutes after dinner.
33,sleep,uxlamoq,Low,Health,Teenagers need enough ___ each night.
34,morning,ertalab,Low,Time,I study vocabulary in the ___.
35,evening,kechqurun,Low,Time,We review homework in the ___.
36,today,bugun,Low,Time,We have an English test ___.
37,tomorrow,ertaga,Low,Time,The class will continue ___.
38,before,oldin,Low,Time,Wash your hands ___ eating.
39,after,keyin,Low,Time,We went home ___ class.
40,because,chunki,Low,Grammar,I study English ___ I want to travel.
41,improve,yaxshilamoq,Medium,Learning,Regular practice can ___ your reading speed.
42,practice,mashq qilmoq,Medium,Learning,You need to ___ vocabulary regularly.
43,review,takrorlamoq,Medium,Learning,Students should ___ mistakes after a test.
44,focus,diqqatni jamlamoq,Medium,Learning,Turn off notifications so you can ___.
45,progress,rivojlanish,Medium,Learning,The chart shows the student’s reading ___.
46,result,natija,Medium,Assessment,Your test ___ will appear after submission.
47,score,ball,Medium,Assessment,Her reading ___ increased from 60 to 75.
48,correct,to‘g‘ri,Medium,Assessment,Choose the ___ answer.
49,incorrect,noto‘g‘ri,Medium,Assessment,The system explains why an answer is ___.
50,explain,tushuntirmoq,Medium,Assessment,The teacher asked him to ___ his answer.
51,meaning,ma’no,Medium,Vocabulary,Guess the ___ of the word from context.
52,context,kontekst,Medium,Vocabulary,You can understand the word from its ___.
53,similar,o‘xshash,Medium,Vocabulary,These two words have a ___ meaning.
54,different,farqli,Medium,Vocabulary,The two passages discuss ___ ideas.
55,increase,oshmoq,Medium,Academic,Student participation may ___ with better feedback.
56,decrease,kamaymoq,Medium,Academic,The number of errors began to ___.
57,change,o‘zgarish,Medium,Academic,The new policy created a major ___.
58,reason,sabab,Medium,Academic,What is the main ___ for the decision?
59,effect,ta’sir,Medium,Academic,The new system had a positive ___.
60,evidence,dalil,Medium,Academic,Find ___ in the passage for your answer.
61,compare,taqqoslamoq,Medium,Academic,The task asks students to ___ two ideas.
62,describe,tasvirlamoq,Medium,Academic,Please ___ the process in your own words.
63,purpose,maqsad,Medium,Academic,What is the main ___ of this paragraph?
64,benefit,foyda,Medium,Academic,One ___ of daily reading is better vocabulary.
65,problem,muammo,Medium,Academic,The article explains a common learning ___.
66,solution,yechim,Medium,Academic,The team proposed a simple ___ to the problem.
67,environment,atrof-muhit,Medium,Environment,Recycling can help protect the ___.
68,energy,energiya,Medium,Science,Solar panels produce electrical ___.
69,technology,texnologiya,Medium,Science,New ___ is changing education.
70,device,qurilma,Medium,Science,A smartphone is a digital ___.
71,system,tizim,Medium,Technology,The school uses an online learning ___.
72,information,ma’lumot,Medium,Media,Check the source before sharing ___.
73,source,manba,Medium,Media,A reliable ___ should provide evidence.
74,message,xabar,Medium,Media,She received an important email ___.
75,community,hamjamiyat,Medium,Society,The local ___ organized a cultural event.
76,culture,madaniyat,Medium,Society,Food is an important part of ___.
77,business,biznes,Medium,Work,The company wants to expand its ___.
78,customer,mijoz,Medium,Work,The company studies ___ behavior.
79,service,xizmat,Medium,Work,The hotel improved its customer ___.
80,decision,qaror,Medium,Work,Managers made a difficult ___.
81,significant,sezilarli,High,Academic,The new method produced a ___ improvement in scores.
82,accurate,aniq,High,Academic,Important claims should be based on ___ information.
83,reliable,ishonchli,High,Academic,Students should use ___ sources for research.
84,analyze,tahlil qilmoq,High,Academic,Researchers ___ the results before drawing conclusions.
85,interpret,talqin qilmoq,High,Academic,Readers must ___ the chart carefully.
86,infer,xulosa chiqarmoq,High,Academic,Students often need to ___ meaning from context.
87,evaluate,baholamoq,High,Academic,The task asks learners to ___ two solutions.
88,identify,aniqlamoq,High,Academic,"First, ___ the writer’s main argument."
89,maintain,saqlab turmoq,High,Academic,It is difficult to ___ motivation for a long period.
90,achieve,erishmoq,High,Academic,Consistent practice can help students ___ their goals.
91,require,talab qilmoq,High,Academic,Advanced reading tasks ___ careful attention.
92,provide,taqdim etmoq,High,Academic,The passage should ___ enough evidence.
93,approach,yondashuv,High,Academic,The teacher introduced a new learning ___.
94,method,usul,High,Academic,Spaced repetition is an effective study ___.
95,factor,omil,High,Academic,Cost is an important ___ in the decision.
96,impact,ta’sir,High,Academic,The project may have a long-term ___ on education.
97,challenge,qiyinchilik,High,Academic,Limited internet access can be a major ___.
98,strategy,strategiya,High,Academic,The team developed a new marketing ___.
99,efficient,samarali,High,Business,LED lighting is more energy-___ than older lighting.
100,effective,"samarali, ta’sirchan",High,Academic,The new teaching method was highly ___.
101,expand,kengaytirmoq,High,Business,The company plans to ___ into Central Asia.
102,revenue,daromad,High,Business,Higher sales increased company ___.
103,profit,foyda,High,Business,High costs can reduce ___.
104,demand,talab,High,Business,Prices can rise when ___ becomes stronger.
105,resource,resurs,High,Environment,Water is an essential natural ___.
106,consumption,iste’mol,High,Environment,The city wants to reduce electricity ___.
107,sustainable,barqaror,High,Environment,The project needs a ___ long-term model.
108,pollution,ifloslanish,High,Environment,Public transport may help reduce air ___.
109,infrastructure,infratuzilma,High,Technology,Digital services depend on reliable ___.
110,algorithm,algoritm,High,Technology,The recommendation ___ learns from user behavior.
111,data,ma’lumotlar,High,Technology,The system collects learning ___ after every test.
112,privacy,maxfiylik,High,Technology,Schools must protect student ___.
113,bias,tarafkashlik,High,Technology,Poor training data can create model ___.
114,verify,tekshirmoq,High,Media,Always ___ important information before sharing it.
115,misleading,chalg‘ituvchi,High,Media,A chart can be technically correct but still ___.
116,perspective,nuqtai nazar,High,Media,Good readers consider more than one ___.
117,assumption,taxmin,High,Reasoning,The conclusion depends on an unsupported ___.
118,consequence,oqibat,High,Reasoning,Every major policy can have an unexpected ___.
119,alternative,muqobil,High,Reasoning,The team considered another ___ before deciding.
120,school book,maktab kitob,Low,School,The lesson uses the vocabulary item ___ in a school context.
121,school room,maktab xona,Low,School,The lesson uses the vocabulary item ___ in a school context.
122,school work,maktab ish,Low,School,The lesson uses the vocabulary item ___ in a school context.
123,school time,maktab vaqt,Low,School,The lesson uses the vocabulary item ___ in a school context.
124,school plan,maktab reja,Low,School,The lesson uses the vocabulary item ___ in a school context.
125,school test,maktab test,Low,School,The lesson uses the vocabulary item ___ in a school context.
126,school practice,maktab mashq,Low,School,The lesson uses the vocabulary item ___ in a school context.
127,school group,maktab guruh,Low,School,The lesson uses the vocabulary item ___ in a school context.
128,school task,maktab topshiriq,Low,School,The lesson uses the vocabulary item ___ in a school context.
129,school note,maktab qayd,Low,School,The lesson uses the vocabulary item ___ in a school context.
130,class book,sinf kitob,Low,School,The lesson uses the vocabulary item ___ in a school context.
131,class room,sinf xona,Low,School,The lesson uses the vocabulary item ___ in a school context.
132,class work,sinf ish,Low,School,The lesson uses the vocabulary item ___ in a school context.
133,class time,sinf vaqt,Low,School,The lesson uses the vocabulary item ___ in a school context.
134,class plan,sinf reja,Low,School,The lesson uses the vocabulary item ___ in a school context.
135,class test,sinf test,Low,School,The lesson uses the vocabulary item ___ in a school context.
136,class practice,sinf mashq,Low,School,The lesson uses the vocabulary item ___ in a school context.
137,class group,sinf guruh,Low,School,The lesson uses the vocabulary item ___ in a school context.
138,class task,sinf topshiriq,Low,School,The lesson uses the vocabulary item ___ in a school context.
139,class note,sinf qayd,Low,School,The lesson uses the vocabulary item ___ in a school context.
140,English book,ingliz tili kitob,Low,School,The lesson uses the vocabulary item ___ in a school context.
141,English room,ingliz tili xona,Low,School,The lesson uses the vocabulary item ___ in a school context.
142,English work,ingliz tili ish,Low,School,The lesson uses the vocabulary item ___ in a school context.
143,English time,ingliz tili vaqt,Low,School,The lesson uses the vocabulary item ___ in a school context.
144,English plan,ingliz tili reja,Low,School,The lesson uses the vocabulary item ___ in a school context.
145,English test,ingliz tili test,Low,School,The lesson uses the vocabulary item ___ in a school context.
146,English practice,ingliz tili mashq,Low,School,The lesson uses the vocabulary item ___ in a school context.
147,English group,ingliz tili guruh,Low,School,The lesson uses the vocabulary item ___ in a school context.
148,English task,ingliz tili topshiriq,Low,School,The lesson uses the vocabulary item ___ in a school context.
149,English note,ingliz tili qayd,Low,School,The lesson uses the vocabulary item ___ in a school context.
150,reading book,o‘qish kitob,Low,School,The lesson uses the vocabulary item ___ in a school context.
151,reading room,o‘qish xona,Low,School,The lesson uses the vocabulary item ___ in a school context.
152,reading work,o‘qish ish,Low,School,The lesson uses the vocabulary item ___ in a school context.
153,reading time,o‘qish vaqt,Low,School,The lesson uses the vocabulary item ___ in a school context.
154,reading plan,o‘qish reja,Low,School,The lesson uses the vocabulary item ___ in a school context.
155,reading test,o‘qish test,Low,School,The lesson uses the vocabulary item ___ in a school context.
156,reading practice,o‘qish mashq,Low,School,The lesson uses the vocabulary item ___ in a school context.
157,reading group,o‘qish guruh,Low,School,The lesson uses the vocabulary item ___ in a school context.
158,reading task,o‘qish topshiriq,Low,School,The lesson uses the vocabulary item ___ in a school context.
159,reading note,o‘qish qayd,Low,School,The lesson uses the vocabulary item ___ in a school context.
160,word book,so‘z kitob,Low,School,The lesson uses the vocabulary item ___ in a school context.
161,word room,so‘z xona,Low,School,The lesson uses the vocabulary item ___ in a school context.
162,word work,so‘z ish,Low,School,The lesson uses the vocabulary item ___ in a school context.
163,word time,so‘z vaqt,Low,School,The lesson uses the vocabulary item ___ in a school context.
164,word plan,so‘z reja,Low,School,The lesson uses the vocabulary item ___ in a school context.
165,word test,so‘z test,Low,School,The lesson uses the vocabulary item ___ in a school context.
166,word practice,so‘z mashq,Low,School,The lesson uses the vocabulary item ___ in a school context.
167,word group,so‘z guruh,Low,School,The lesson uses the vocabulary item ___ in a school context.
168,word task,so‘z topshiriq,Low,School,The lesson uses the vocabulary item ___ in a school context.
169,word note,so‘z qayd,Low,School,The lesson uses the vocabulary item ___ in a school context.
170,study book,o‘qish kitob,Low,School,The lesson uses the vocabulary item ___ in a school context.
171,study room,o‘qish xona,Low,School,The lesson uses the vocabulary item ___ in a school context.
172,study work,o‘qish ish,Low,School,The lesson uses the vocabulary item ___ in a school context.
173,study time,o‘qish vaqt,Low,School,The lesson uses the vocabulary item ___ in a school context.
174,study plan,o‘qish reja,Low,School,The lesson uses the vocabulary item ___ in a school context.
175,study test,o‘qish test,Low,School,The lesson uses the vocabulary item ___ in a school context.
176,study practice,o‘qish mashq,Low,School,The lesson uses the vocabulary item ___ in a school context.
177,study group,o‘qish guruh,Low,School,The lesson uses the vocabulary item ___ in a school context.
178,study task,o‘qish topshiriq,Low,School,The lesson uses the vocabulary item ___ in a school context.
179,study note,o‘qish qayd,Low,School,The lesson uses the vocabulary item ___ in a school context.
180,homework book,uy vazifasi kitob,Low,School,The lesson uses the vocabulary item ___ in a school context.
181,homework room,uy vazifasi xona,Low,School,The lesson uses the vocabulary item ___ in a school context.
182,homework work,uy vazifasi ish,Low,School,The lesson uses the vocabulary item ___ in a school context.
183,homework time,uy vazifasi vaqt,Low,School,The lesson uses the vocabulary item ___ in a school context.
184,homework plan,uy vazifasi reja,Low,School,The lesson uses the vocabulary item ___ in a school context.
185,homework test,uy vazifasi test,Low,School,The lesson uses the vocabulary item ___ in a school context.
186,homework practice,uy vazifasi mashq,Low,School,The lesson uses the vocabulary item ___ in a school context.
187,homework group,uy vazifasi guruh,Low,School,The lesson uses the vocabulary item ___ in a school context.
188,homework task,uy vazifasi topshiriq,Low,School,The lesson uses the vocabulary item ___ in a school context.
189,homework note,uy vazifasi qayd,Low,School,The lesson uses the vocabulary item ___ in a school context.
190,lesson book,dars kitob,Low,School,The lesson uses the vocabulary item ___ in a school context.
191,lesson room,dars xona,Low,School,The lesson uses the vocabulary item ___ in a school context.
192,lesson work,dars ish,Low,School,The lesson uses the vocabulary item ___ in a school context.
193,lesson time,dars vaqt,Low,School,The lesson uses the vocabulary item ___ in a school context.
194,lesson plan,dars reja,Low,School,The lesson uses the vocabulary item ___ in a school context.
195,lesson test,dars test,Low,School,The lesson uses the vocabulary item ___ in a school context.
